Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Repeat,Elapsed_ms,Hash,Reference_Hash,Exact,Differing_Bytes,Max_Abs_Error,Compiler,Flags,Hostname
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,auto-avx2,7,4.513039,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,auto-avx2,7,4.513039,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,omp-avx2,7,34.192661,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,omp-avx2,7,4.529049,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,omp-avx2,7,4.529049,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,auto-avx2,8,34.892338,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,auto-avx2,8,4.533478,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,total,4000,3000,1,static,auto-avx2,8,4.533478,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
4000x3000.png,Negative,original,total,4000,3000,1,static,omp-avx2,8,33.847517,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
4000x3000.png,Negative,linear_bytes,kernel,4000,3000,1,static,omp-avx2,8,4.541343,d19dbb8bc8cfc22e,d19dbb8bc8cfc22e,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
