Image,Operation,Width,Height,Layout,Phase,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Samples,Median_ms,Min_ms,Max_ms,Mean_ms,StdDev_ms
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.850008,2.642267,2.897708,2.800345,0.104532
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,2.964192,2.742798,3.040173,2.915191,0.133906
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.407722,2.277714,2.618944,2.431945,0.143935
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,2.449629,2.303483,2.859780,2.525355,0.214800
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,12.650360,12.537936,12.816825,12.666238,0.102343
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,12.664043,12.514935,12.952297,12.686074,0.177096
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,2.508226,2.161124,2.666406,2.435978,0.248968
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,2.267779,2.122330,2.639650,2.364224,0.254391
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,6.323044,6.208931,6.927569,6.451884,0.300193
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,6.556366,6.378761,6.731324,6.551082,0.128281
